id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default_time,payoff_time,status_time
33328,47,23,26,143,543088.36,109.61916765,6.875,149.58,1.6681823188,8.8,0,0,1,0,588000.0,705,80.0,6.875,221.91,1,0,1
49806,58,30,52,150,435013.33,90.141143933,6.375,188.37,2.8685938252,6.2,0,0,1,0,436000.0,678,80.0,0.0,212.73,1,0,1
17194,41,27,29,147,238803.66,119.90460009,8.375,161.06,2.6824968062,9.9,0,0,1,1,220000.0,734,80.0,0.0,222.39,1,0,1
31376,34,21,25,142,62229.72,94.310955726,11.625,173.35,-0.314447747,5.8,0,0,1,0,63600.0,582,80.0,7.95,208.86,1,0,1
37350,36,22,24,142,243599.04,114.29299524,5.75,151.48,-3.516567987,7.8,0,0,1,0,244000.0,651,80.0,5.75,216.77,1,0,1
18689,44,16,18,137,158144.19,88.868242905,3.375,150.91,1.8755149375,9.2,0,0,1,1,158400.0,722,80.0,5.625,167.91,1,0,1
35920,26,17,20,137,171211.71,69.994968298,5.95,225.1,2.1513648831,4.7,0,0,1,0,175500.0,602,90.0,0.0,179.45,1,0,1
4672,36,28,30,148,171891.53,107.44394502,8.875,151.48,-3.516567987,7.8,0,0,1,0,174000.0,617,75.0,8.875,219.67,1,0,1
33292,36,29,30,149,498500.0,110.92356087,6.5,151.48,-3.516567987,7.8,0,0,1,0,498500.0,680,77.3,6.5,217.37,1,0,1
48958,40,26,28,146,383409.98,120.10808541,6.5,156.21,1.5859655122,9.8,0,0,1,0,368000.0,706,80.0,0.0,225.1,1,0,1
45555,45,25,28,142,103265.36,137.17028543,7.375,154.87,1.6391549258,9.1,0,0,1,1,104500.0,779,95.0,7.375,226.29,1,0,1
27974,36,24,27,144,80499.99,103.39647514,7.125,151.48,-3.516567987,7.8,1,0,0,0,80500.0,718,70.0,7.125,223.75,1,0,1
3790,34,24,27,145,187200.0,103.25930199,9.0,173.35,-0.314447747,5.8,0,0,1,0,187200.0,653,80.0,7.5,223.75,1,0,1
2932,37,21,24,142,156000.0,108.95859146,8.559,153.35,-4.146710947,9.0,0,0,1,0,156000.0,704,80.0,6.75,208.86,1,0,1
24573,27,19,20,139,260899.54,68.050517241,8.125,222.39,2.3617217155,4.4,0,0,1,0,264000.0,546,80.0,8.125,191.42,1,0,1
37953,47,27,30,148,286817.67,104.0072881,7.625,149.58,1.6681823188,8.8,0,0,1,0,287000.0,632,70.0,7.625,222.39,1,0,1
36518,36,29,31,149,103480.68,81.099575177,7.875,151.48,-3.516567987,7.8,1,0,0,0,104000.0,579,56.8,7.875,217.37,1,0,1
15887,35,23,23,141,176997.04,108.80940555,8.0,162.09,-2.805844087,6.5,0,1,0,1,178160.0,768,80.0,6.75,221.91,1,0,1
44769,35,25,28,145,108498.71,97.72417588,8.625,162.09,-2.805844087,6.5,0,0,0,0,108500.0,679,70.0,8.625,226.29,1,0,1
43002,43,28,30,148,243106.18,90.099926737,8.35,156.04,2.6941105489,9.4,0,0,0,0,245000.0,543,64.5,8.35,219.67,1,0,1
14573,49,25,27,145,431958.69,116.82889429,6.875,154.94,2.4566338212,8.2,1,0,0,0,432000.0,748,80.0,6.875,226.29,1,0,1
21555,31,26,29,146,391645.63,88.752609378,5.0,200.67,1.8506891663,4.7,0,1,0,0,396000.0,705,80.0,5.0,225.1,1,0,1
46709,56,13,21,134,82979.37,57.056034876,6.8,181.43,1.7170529058,6.6,0,0,1,0,96000.0,582,80.0,0.0,149.7,1,0,1
387,37,28,32,148,539016.07,124.54120922,8.99,153.35,-4.146710947,9.0,0,0,1,0,540000.0,646,87.1,8.99,219.67,1,0,1
45039,38,27,30,148,559200.0,112.05643384,7.5,158.77,-3.339549297,9.5,0,0,0,0,559200.0,775,80.0,7.5,222.39,1,0,1
29183,30,25,28,146,425532.15,95.296157693,8.2,212.73,2.2742178006,4.7,0,0,0,0,427500.0,662,90.0,8.2,226.29,1,0,1
896,30,26,28,146,336529.8,100.3094685,7.85,212.73,2.2742178006,4.7,0,0,1,0,337250.0,618,95.0,0.0,225.1,1,0,1
769,34,25,27,145,196409.61,100.89020081,8.75,173.35,-0.314447747,5.8,0,0,1,1,200000.0,644,78.7,0.0,226.29,1,0,1
17495,25,21,24,141,110228.39,73.51014599,9.05,226.29,2.8991367167,4.7,0,1,0,0,110720.0,595,80.0,9.05,208.86,1,0,1
25339,29,21,22,141,148559.16,94.845909068,8.25,217.37,1.6929686703,4.5,0,1,0,0,150500.0,580,100.0,0.0,208.86,1,0,1
19194,29,25,27,146,172056.32,82.924456876,7.75,217.37,1.6929686703,4.5,1,0,0,0,172800.0,694,80.0,7.75,226.29,1,0,1
40585,40,25,27,145,119286.01,111.12599147,7.5,156.21,1.5859655122,9.8,0,0,0,0,124400.0,704,80.0,7.5,226.29,1,0,1
10756,51,21,24,142,793794.0,99.556725419,5.0,158.6,1.2690442628,7.8,0,0,0,1,787500.0,694,75.0,10.5,208.86,1,0,1
45607,29,24,27,144,271514.5,81.499075596,7.125,217.37,1.6929686703,4.5,0,0,1,0,274000.0,630,79.9,7.125,223.75,1,0,1
29401,35,27,29,147,855000.0,123.48139922,7.5,162.09,-2.805844087,6.5,1,0,0,0,855000.0,654,90.0,7.5,222.39,1,0,1
28322,32,29,31,149,418935.38,81.545941284,6.875,186.12,1.1041627602,5.0,1,0,0,0,420000.0,670,70.0,0.0,217.37,1,0,1
48630,34,22,25,142,49241.85,78.940108261,8.75,173.35,-0.314447747,5.8,0,0,1,1,50000.0,566,64.1,0.0,216.77,1,0,1
34175,41,28,30,148,499996.94,129.29708526,6.25,161.06,2.6824968062,9.9,0,1,0,0,500000.0,712,94.8,6.25,219.67,1,0,1
26338,38,28,31,149,135028.9,95.764404086,9.303,158.77,-3.339549297,9.5,0,0,1,0,136950.0,508,70.2,8.94,219.67,1,0,1
48230,56,26,52,146,81228.95,44.791408122,3.55,181.43,1.7170529058,6.6,0,0,1,0,213750.0,620,95.0,3.55,225.1,1,0,1
13066,41,19,22,139,174887.57,93.627965431,2.875,161.06,2.6824968062,9.9,0,1,0,0,177600.0,608,80.0,5.875,191.42,1,0,1
43193,31,21,24,141,93121.28,81.446944923,10.07,200.67,1.8506891663,4.7,0,0,1,0,95200.0,616,80.0,0.0,208.86,1,0,1
47139,43,28,30,88,528060.54,87.507241902,8.8,156.04,2.6941105489,9.4,0,0,1,0,604010.0,576,71.1,8.8,219.67,1,0,1
7460,48,26,28,186,549803.44,138.55655182,3.767,146.45,2.7159028846,8.3,0,0,0,0,480000.0,748,78.7,1.0,225.1,1,0,1
13436,41,23,23,141,56593.52,103.9667869,7.125,161.06,2.6824968062,9.9,0,0,1,1,60000.0,661,80.0,7.125,221.91,1,0,1
39380,51,12,17,133,334973.84,52.76612573,6.25,158.6,1.2690442628,7.8,0,0,1,0,418000.0,663,72.1,6.25,144.84,1,0,1
31564,33,22,24,142,147706.25,112.2575703,8.85,180.52,0.8368586627,5.0,0,0,0,1,150100.0,628,95.0,8.85,216.77,1,0,1
12426,24,-3,20,118,72965.65,40.27589532,9.25,223.75,3.1211950891,4.7,0,0,1,0,77000.0,585,100.0,9.25,95.1,1,0,1
26815,41,20,25,142,144321.76,93.971186273,4.82,161.06,2.6824968062,9.9,0,0,0,0,140000.0,512,73.7,4.82,199.21,1,0,1
14394,28,27,27,145,346133.3,80.741750022,8.5,219.67,1.2291722496,4.6,1,0,0,0,347200.0,677,80.0,8.5,222.39,1,0,1
20850,33,19,21,139,277125.23,76.933751745,6.375,180.52,0.8368586627,5.0,0,0,1,1,288000.0,722,75.4,6.375,191.42,1,0,1
29175,33,25,28,146,298158.86,99.934663541,8.6,180.52,0.8368586627,5.0,0,0,1,0,299200.0,673,80.0,8.6,226.29,1,0,1
27554,36,26,26,144,85944.41,116.10345615,7.75,151.48,-3.516567987,7.8,0,0,0,0,88000.0,646,80.0,7.75,225.1,1,0,1
22643,25,18,18,136,48677.05,73.101911991,7.75,226.29,2.8991367167,4.7,0,0,1,1,49500.0,637,90.0,7.75,186.91,1,0,1
47334,26,7,25,128,41848.58,45.69789995,11.55,225.1,2.1513648831,4.7,0,0,1,0,42755.0,536,85.0,0.0,123.64,1,0,1
814,30,26,28,146,287741.75,84.57599869,8.875,212.73,2.2742178006,4.7,0,0,0,0,288000.0,644,80.0,8.875,225.1,1,0,1
41946,37,19,22,140,199811.17,100.16683404,6.825,153.35,-4.146710947,9.0,0,0,1,0,199200.0,652,80.0,0.0,191.42,1,0,1
18643,42,16,18,136,579763.65,71.16226237,3.125,161.0,3.0294986398,9.4,0,1,0,0,650000.0,662,76.5,3.75,167.91,1,0,1
34876,41,25,31,146,153683.61,100.94547045,6.625,161.06,2.6824968062,9.9,0,0,1,0,160000.0,679,74.8,6.625,226.29,1,0,1
10762,49,22,24,136,207137.83,115.91911039,10.25,154.94,2.4566338212,8.2,0,0,0,0,206250.0,692,82.5,13.25,216.77,1,0,1
10915,34,29,32,110,123119.93,99.603000397,12.875,173.35,-0.314447747,5.8,0,0,0,0,124000.0,695,80.0,12.875,217.37,1,0,1
42569,45,27,29,147,65219.41,127.41996548,10.69,154.87,1.6391549258,9.1,0,0,1,0,66150.0,577,90.0,10.69,222.39,1,0,1
27849,38,30,30,187,150606.05,106.20601471,8.75,158.77,-3.339549297,9.5,0,0,0,0,152000.0,676,80.0,0.0,212.73,1,0,1
21882,43,27,30,147,479990.99,122.79699797,4.286,156.04,2.6941105489,9.4,0,0,0,0,444000.0,661,79.7,1.7,222.39,1,0,1
3359,32,23,25,143,267750.71,93.893503331,9.5,186.12,1.1041627602,5.0,1,0,0,0,272000.0,731,80.0,6.5,221.91,1,0,1
24436,30,17,19,137,79419.27,66.910982309,8.0,212.73,2.2742178006,4.7,0,0,1,0,80000.0,571,79.9,0.0,179.45,1,0,1
23342,32,24,24,140,123464.84,93.350397965,6.5,186.12,1.1041627602,5.0,0,0,0,0,127200.0,638,80.0,6.5,223.75,1,0,1
38104,43,25,30,145,179915.2,116.0133109,7.0,156.04,2.6941105489,9.4,1,0,0,0,179920.0,681,80.0,7.0,226.29,1,0,1
865,30,26,28,146,485647.96,105.62087789,8.85,212.73,2.2742178006,4.7,0,0,1,0,486540.0,723,100.0,0.0,225.1,1,0,1
31890,34,27,30,147,229594.49,105.19493723,7.5,173.35,-0.314447747,5.8,0,0,1,0,224000.0,577,80.0,2.0,222.39,1,0,1
14636,32,28,30,148,40500.0,79.667553191,8.375,186.12,1.1041627602,5.0,0,0,0,1,40500.0,641,67.5,8.375,219.67,1,0,1
25,28,19,25,139,53582.08,68.663702463,9.95,219.67,1.2291722496,4.6,0,0,1,0,54400.0,557,80.0,7.0,191.42,1,0,1
3252,34,22,25,143,341566.01,100.02811924,8.875,173.35,-0.314447747,5.8,0,1,0,0,341600.0,613,80.0,5.99,216.77,1,0,1
34777,38,26,34,147,233219.22,82.870220241,7.0,158.77,-3.339549297,9.5,0,1,0,0,239400.0,620,60.0,7.0,225.1,1,0,1
25401,50,26,26,143,63131.92,134.96010306,8.375,158.94,2.3664098989,8.2,0,0,0,0,66250.0,746,100.0,0.0,225.1,1,0,1
20529,57,25,27,145,238880.92,84.930183803,6.5,187.2,2.5560517331,6.2,0,0,1,0,255000.0,629,75.0,6.5,226.29,1,0,1
20932,44,21,24,142,303922.05,110.69190658,2.875,150.91,1.8755149375,9.2,0,0,0,0,304000.0,699,80.0,5.625,208.86,1,0,1
47028,36,30,30,148,268311.08,125.60033458,8.1,151.48,-3.516567987,7.8,0,0,0,0,270000.0,635,90.0,0.0,212.73,1,0,1
27381,37,26,28,147,154854.73,101.04241408,9.375,153.35,-4.146710947,9.0,0,0,0,0,155000.0,620,68.9,7.5,225.1,1,0,1
4766,17,14,17,135,91902.23,69.369500368,9.15,179.45,4.1266843515,5.6,0,0,1,0,92000.0,504,80.0,9.15,155.77,1,0,1
7347,29,25,27,146,94500.0,72.872521507,8.483,217.37,1.6929686703,4.5,0,0,0,1,94500.0,640,70.0,1.65,226.29,1,0,1
42664,30,17,20,138,102649.79,48.115191355,6.75,212.73,2.2742178006,4.7,0,0,1,0,106000.0,567,58.9,0.0,179.45,1,0,1
38439,42,19,21,140,184800.0,95.11552795,5.375,161.0,3.0294986398,9.4,0,0,0,0,184800.0,758,80.0,5.375,191.42,1,0,1
10459,31,26,30,146,615098.76,91.997628528,8.375,200.67,1.8506891663,4.7,0,0,1,0,600000.0,688,80.0,2.0,225.1,1,0,1
3340,47,22,25,143,238768.74,118.5005224,7.125,149.58,1.6681823188,8.8,0,0,1,0,233600.0,599,80.0,7.125,216.77,1,0,1
32213,33,21,32,182,522416.7,101.58510518,7.422,180.52,0.8368586627,5.0,0,0,1,0,476000.0,704,80.0,1.0,208.86,1,0,1
11461,48,16,18,137,247932.83,91.69792946,6.5,146.45,2.7159028846,8.3,0,0,0,0,248000.0,592,80.0,6.5,167.91,1,0,1
44772,30,25,27,145,248000.0,85.099421802,7.875,212.73,2.2742178006,4.7,0,0,1,0,248000.0,636,80.0,7.875,226.29,1,0,1
2610,16,16,16,129,111187.14,79.419385714,10.75,167.91,4.320113768,5.7,0,0,1,1,112000.0,641,80.0,10.75,167.91,1,0,1
26403,59,14,25,135,147212.34,68.846380028,2.0,187.65,2.4436475652,5.7,0,0,1,0,124250.0,537,70.0,2.0,155.77,1,0,1
15922,34,23,23,141,118400.0,102.41015287,4.875,173.35,-0.314447747,5.8,0,0,1,0,118400.0,661,80.0,0.0,221.91,1,0,1
1860,34,18,18,66,31930.12,57.379662813,12.85,173.35,-0.314447747,5.8,0,0,1,1,42000.0,502,70.0,12.85,186.91,1,0,1
21382,33,27,27,145,160000.0,98.555284733,6.5,180.52,0.8368586627,5.0,0,0,1,0,160000.0,659,80.0,6.5,222.39,1,0,1
29271,39,26,29,147,332270.59,111.27095392,7.75,158.16,-0.241080652,10.0,0,0,0,1,340000.0,635,80.0,7.75,225.1,1,0,1
17299,44,28,30,148,219994.0,128.0924577,7.625,150.91,1.8755149375,9.2,0,0,1,0,200000.0,692,80.0,0.0,219.67,1,0,1
3563,27,24,26,144,498160.5,94.717063425,8.15,222.39,2.3617217155,4.4,0,0,0,0,499000.0,600,94.3,8.15,223.75,1,0,1
22962,39,21,23,182,437171.16,114.31908592,4.501,158.16,-0.241080652,10.0,0,0,1,0,404000.0,711,80.0,1.1,208.86,1,0,1
31508,37,28,31,148,96310.4,135.25707288,8.375,153.35,-4.146710947,9.0,0,0,0,0,96900.0,630,95.0,8.375,219.67,1,0,1
42960,32,27,30,148,136000.0,95.589941973,9.8,186.12,1.1041627602,5.0,0,0,1,0,136000.0,604,80.0,9.8,222.39,1,0,1
8282,8,3,3,120,133998.27,80.56355115,10.99,125.92,1.4058411984,5.7,0,0,1,0,135000.0,600,90.0,10.99,113.56,1,0,1
35831,32,26,28,146,580000.0,96.754781861,7.5,186.12,1.1041627602,5.0,0,0,1,0,580000.0,696,80.0,7.5,225.1,1,0,1
36773,52,25,27,145,443866.44,91.037022684,7.125,161.13,1.0810494182,8.0,0,0,1,0,480000.0,664,70.1,7.125,226.29,1,0,1
34961,31,21,24,142,55089.84,81.911766884,8.25,200.67,1.8506891663,4.7,0,0,1,1,56000.0,659,80.0,8.25,208.86,1,0,1
9798,39,22,24,142,437354.03,95.60224992,5.75,158.16,-0.241080652,10.0,0,1,0,0,438900.0,766,70.0,5.75,216.77,1,0,1
2651,24,19,21,139,144396.59,68.439054167,5.9,223.75,3.1211950891,4.7,0,1,0,0,144400.0,591,80.0,8.89,191.42,1,0,1
32977,34,25,28,146,444861.74,116.14394363,9.4,173.35,-0.314447747,5.8,0,0,1,0,450000.0,622,90.0,9.4,226.29,1,0,1
33458,33,24,27,85,143506.11,110.13759395,8.875,180.52,0.8368586627,5.0,0,0,0,0,145350.0,750,90.0,8.875,223.75,1,0,1
48582,34,25,25,143,233924.67,88.511244444,11.15,173.35,-0.314447747,5.8,0,0,1,0,238050.0,527,69.0,0.0,226.29,1,0,1
14520,37,26,29,147,440636.78,117.38936213,7.375,153.35,-4.146710947,9.0,0,1,0,0,440792.0,759,80.0,7.375,225.1,1,0,1
49389,52,24,52,144,88805.66,85.091329658,3.9,161.13,1.0810494182,8.0,0,0,1,0,105650.0,582,72.9,3.9,223.75,1,0,1
31785,34,23,25,143,494275.29,95.918607805,6.2,173.35,-0.314447747,5.8,0,0,1,0,502000.0,591,76.1,6.2,221.91,1,0,1
13411,21,18,18,126,100741.02,78.394531174,8.625,208.86,3.3469293746,5.2,0,0,0,0,103500.0,493,90.0,8.625,186.91,1,0,1
730,58,19,19,94,36934.55,50.043436223,7.8,188.37,2.8685938252,6.2,0,0,0,0,56100.0,654,74.8,7.8,191.42,1,0,1
11316,38,30,32,150,417048.83,127.28659888,9.0,158.77,-3.339549297,9.5,0,1,0,0,417050.0,661,95.0,9.0,212.73,1,0,1
48974,41,26,28,146,206490.99,108.82167014,8.15,161.06,2.6824968062,9.9,0,0,1,0,212160.0,748,80.0,8.15,225.1,1,0,1
37746,46,18,21,139,106068.69,63.701879211,6.5,155.61,1.1759090317,9.0,0,0,1,0,150000.0,621,75.0,6.5,186.91,1,0,1
44738,28,26,26,145,649950.0,66.606728274,7.125,219.67,1.2291722496,4.6,0,0,0,0,649950.0,670,65.0,7.125,225.1,1,0,1
42244,30,23,27,143,368000.0,83.452263433,7.999,212.73,2.2742178006,4.7,0,0,1,0,368000.0,645,80.0,0.0,221.91,1,0,1
13367,33,31,31,148,305112.73,77.084094849,6.95,180.52,0.8368586627,5.0,0,0,1,0,308000.0,605,70.0,6.95,200.67,1,0,1
47355,35,7,25,127,43694.75,47.613926038,10.75,162.09,-2.805844087,6.5,0,0,0,0,45500.0,527,65.0,0.0,123.64,1,0,1
873,29,26,28,146,503861.78,93.174973776,8.15,217.37,1.6929686703,4.5,0,0,0,0,504000.0,654,90.0,0.0,225.1,1,0,1
10298,39,23,25,143,196800.0,112.24582701,6.75,158.16,-0.241080652,10.0,0,0,0,0,196800.0,735,80.0,6.75,221.91,1,0,1
3525,30,23,27,144,227138.22,92.917640054,8.125,212.73,2.2742178006,4.7,0,1,0,0,229500.0,546,90.0,8.125,221.91,1,0,1
4010,34,25,28,145,424710.96,130.45059216,8.5,173.35,-0.314447747,5.8,0,0,1,0,425000.0,675,100.0,8.5,226.29,1,0,1
46151,31,26,29,147,398095.02,89.490975774,9.9,200.67,1.8506891663,4.7,0,0,0,0,399200.0,507,80.0,0.0,225.1,1,0,1
46260,31,14,21,134,88019.17,59.155707647,7.25,200.67,1.8506891663,4.7,0,0,1,0,92400.0,614,80.0,7.25,155.77,1,0,1
45375,39,31,31,148,176200.89,104.03406828,6.375,158.16,-0.241080652,10.0,0,0,1,0,177500.0,708,82.6,6.2,200.67,1,0,1
10667,33,29,31,149,295800.0,75.258281631,10.99,180.52,0.8368586627,5.0,0,0,1,0,295800.0,694,62.5,10.99,217.37,1,0,1
18321,47,27,30,148,473908.7,118.84290792,7.125,149.58,1.6681823188,8.8,0,0,1,0,474300.0,742,80.0,7.125,222.39,1,0,1
35130,31,24,27,144,225317.97,88.774858266,8.03,200.67,1.8506891663,4.7,0,0,1,0,226400.0,607,80.0,8.03,223.75,1,0,1
43761,49,49,49,148,84894.61,49.949619372,6.49,154.94,2.4566338212,8.2,0,0,1,0,86000.0,648,50.6,6.49,154.94,1,0,1
42653,46,26,28,146,258946.11,110.17129808,7.09,155.61,1.1759090317,9.0,0,0,1,0,272000.0,645,80.0,7.09,225.1,1,0,1
34938,46,23,25,143,247005.85,121.77689623,8.125,155.61,1.1759090317,9.0,0,0,1,0,260330.0,656,90.0,8.125,221.91,1,0,1
43569,37,23,29,143,296172.88,95.272647991,8.875,153.35,-4.146710947,9.0,0,0,1,0,305000.0,560,67.8,0.0,221.91,1,0,1
41955,36,20,22,140,226662.25,101.64497342,6.5,151.48,-3.516567987,7.8,0,0,1,0,234606.0,703,80.0,0.0,199.21,1,0,1
14482,44,25,27,146,560162.2,122.95918138,7.0,150.91,1.8755149375,9.2,0,1,0,0,546500.0,627,80.0,8.25,226.29,1,0,1
27038,35,28,28,146,621224.41,126.60224144,10.25,162.09,-2.805844087,6.5,0,0,1,0,631750.0,618,95.0,7.99,219.67,1,0,1
40789,20,16,20,136,344000.0,67.430349882,6.126,199.21,3.5563345819,5.3,0,1,0,0,344000.0,624,80.0,0.0,167.91,1,0,1
33530,30,25,27,145,166725.0,101.05556339,10.25,212.73,2.2742178006,4.7,0,0,0,0,166725.0,656,95.0,10.25,226.29,1,0,1
14249,29,27,27,145,1456936.36,76.440165734,8.375,217.37,1.6929686703,4.5,1,0,0,0,1462500.0,682,75.0,8.375,222.39,1,0,1
33057,39,22,25,142,332331.41,109.62330298,5.875,158.16,-0.241080652,10.0,0,1,0,0,332400.0,701,80.0,5.875,216.77,1,0,1
38420,33,20,25,141,411628.57,88.203149294,7.25,180.52,0.8368586627,5.0,0,0,1,0,412000.0,699,80.0,3.5,199.21,1,0,1
45664,47,25,28,141,96408.24,97.278332533,6.375,149.58,1.6681823188,8.8,0,1,0,0,107800.0,697,71.9,6.375,226.29,1,0,1
48857,52,25,27,145,201805.66,95.072733105,6.55,161.13,1.0810494182,8.0,0,0,1,0,220000.0,685,73.8,6.55,226.29,1,0,1
45093,46,27,30,147,118302.6,125.23861988,9.25,155.61,1.1759090317,9.0,0,0,0,0,121500.0,553,90.0,9.25,222.39,1,0,1
14065,27,25,25,143,82924.14,81.133039154,8.125,222.39,2.3617217155,4.4,0,0,1,1,83200.0,761,80.0,8.125,226.29,1,0,1
18288,33,25,28,146,193030.99,98.766543351,7.25,180.52,0.8368586627,5.0,0,1,0,0,195996.0,718,80.0,7.25,226.29,1,0,1
13559,43,26,26,144,153776.37,109.15710926,6.625,156.04,2.6941105489,9.4,0,1,0,0,162580.0,649,80.0,6.625,225.1,1,0,1
38732,51,22,25,143,111741.93,112.38095183,5.25,158.6,1.2690442628,7.8,1,0,0,1,108720.0,733,80.0,7.25,216.77,1,0,1
49057,43,24,27,145,165341.12,118.54356447,7.25,156.04,2.6941105489,9.4,0,0,1,0,171000.0,661,85.5,7.25,223.75,1,0,1
7501,40,26,28,187,558909.42,127.84022977,3.632,156.21,1.5859655122,9.8,0,0,1,0,504000.0,807,80.0,1.0,225.1,1,0,1
4279,34,26,28,146,134746.69,103.84123617,9.25,173.35,-0.314447747,5.8,0,0,1,0,134800.0,594,80.0,9.0,225.1,1,0,1
24903,34,26,28,147,129625.85,103.5833377,7.35,173.35,-0.314447747,5.8,0,0,1,0,130000.0,619,80.0,0.0,225.1,1,0,1
18290,29,25,28,146,119638.74,83.032158607,9.5,217.37,1.6929686703,4.5,0,0,1,1,120000.0,743,80.0,9.5,226.29,1,0,1
27423,26,24,24,142,110943.27,79.336623092,7.35,225.1,2.1513648831,4.7,0,0,0,0,111200.0,610,80.0,7.35,223.75,1,0,1
43351,44,27,31,147,91990.88,131.46857837,8.45,150.91,1.8755149375,9.2,0,0,1,0,92700.0,589,89.9,8.45,222.39,1,0,1
33027,50,27,30,148,89333.85,117.91343142,9.54,158.94,2.3664098989,8.2,0,0,1,0,90000.0,560,84.9,9.54,222.39,1,0,1
3253,50,22,25,143,477677.6,116.40651365,5.0,158.94,2.3664098989,8.2,0,0,0,0,492500.0,638,88.0,7.05,216.77,1,0,1
3078,26,22,25,142,214005.2,77.038530027,6.5,225.1,2.1513648831,4.7,0,1,0,0,214008.0,639,80.0,6.5,216.77,1,0,1
47099,37,24,24,142,452755.47,116.69073881,5.99,153.35,-4.146710947,9.0,0,1,0,0,452894.0,715,80.0,5.99,223.75,1,0,1
35396,49,25,28,145,214617.53,110.75939316,7.49,154.94,2.4566338212,8.2,0,1,0,0,226400.0,726,80.0,7.49,226.29,1,0,1
148,29,22,25,142,230400.0,79.779178359,6.31,217.37,1.6929686703,4.5,0,0,1,0,230400.0,593,80.0,6.31,216.77,1,0,1
42425,46,27,30,147,55018.78,110.78416389,8.46,155.61,1.1759090317,9.0,0,0,1,0,56000.0,623,78.9,8.46,222.39,1,0,1
12122,35,25,30,146,173487.44,109.5935273,7.375,162.09,-2.805844087,6.5,0,0,1,0,176800.0,540,80.0,7.375,226.29,1,0,1
44024,36,22,24,142,454965.4,93.008836393,6.25,151.48,-3.516567987,7.8,0,0,1,0,455000.0,725,65.0,6.25,216.77,1,0,1
15632,54,18,22,139,301754.6,82.907633762,2.75,179.97,1.5073587076,7.3,0,0,1,0,302400.0,735,80.0,5.375,186.91,1,0,1
41105,35,23,25,144,180004.0,107.19236079,7.75,162.09,-2.805844087,6.5,0,0,0,0,183920.0,628,80.0,7.75,221.91,1,0,1
