k1,k2,k3,k4,k5,k6,k7,k8,st,k9,k10,cb_person_cred_hist_length
29,44000,RENT,4,DEBTCONSOLIDATION,C,12000,15.96,1,0.27,Y,7
34,60500,RENT,3,DEBTCONSOLIDATION,D,11200,15.62,1,0.19,Y,10
22,26400,RENT,1,EDUCATION,A,10000,7.49,1,0.38,N,3
22,56920,MORTGAGE,6,VENTURE,D,10000,14.59,1,0.18,Y,2
24,46000,RENT,0,PERSONAL,D,5975,14.46,1,0.13,Y,4
23,65025,MORTGAGE,7,MEDICAL,C,16000,14.35,1,0.21,N,3
24,54996,RENT,2,HOMEIMPROVEMENT,B,23600,11.89,1,0.43,N,4
24,45792,RENT,3,PERSONAL,B,17000,10.38,1,0.37,N,3
23,45000,RENT,2,PERSONAL,B,14500,10.36,1,0.32,N,4
21,21000,RENT,5,MEDICAL,F,5000,20.89,1,0.24,N,2
28,24840,RENT,2,EDUCATION,A,1500,8,1,0.06,N,5
23,120000,MORTGAGE,7,HOMEIMPROVEMENT,D,8000,,1,0.07,Y,2
29,35000,RENT,1,VENTURE,A,15000,7.9,1,0.43,N,10
34,14400,RENT,2,PERSONAL,B,2500,10,1,0.17,N,5
29,9600,RENT,1,DEBTCONSOLIDATION,B,2600,12.69,1,0.27,N,7
22,44004,MORTGAGE,3,VENTURE,D,9000,14.11,1,0.2,Y,3
32,57223,RENT,0,PERSONAL,B,15000,11.83,1,0.26,N,5
42,101000,MORTGAGE,6,DEBTCONSOLIDATION,F,25000,16.15,1,0.25,Y,17
26,47360,MORTGAGE,10,HOMEIMPROVEMENT,D,6000,14.61,1,0.13,Y,3
24,29000,RENT,4,MEDICAL,D,14400,15.7,1,0.5,N,4
27,60000,RENT,4,DEBTCONSOLIDATION,B,18500,10.99,1,0.31,N,5
29,32800,RENT,13,MEDICAL,E,12000,16.45,1,0.37,N,9
28,56100,RENT,9,MEDICAL,D,20000,14.59,1,0.3,Y,5
38,18720,RENT,0,VENTURE,D,6000,15.99,1,0.32,N,12
22,30000,RENT,7,MEDICAL,A,7200,8.9,1,0.24,N,2
31,29000,RENT,5,MEDICAL,D,9000,15.37,1,0.31,N,9
32,25000,RENT,,HOMEIMPROVEMENT,C,9800,12.23,1,0.39,Y,8
23,44000,MORTGAGE,7,PERSONAL,A,10000,8.49,1,0.23,N,4
27,15600,OWN,0,EDUCATION,A,6400,7.74,1,0.41,N,9
26,23624,RENT,6,PERSONAL,B,10000,9.88,1,0.42,N,2
42,42000,RENT,6,EDUCATION,D,14500,15.57,1,0.35,N,14
27,39500,RENT,0,MEDICAL,D,2200,,1,0.06,Y,8
24,40000,RENT,1,EDUCATION,C,15000,12.87,1,0.38,Y,3
26,71004,RENT,0,DEBTCONSOLIDATION,D,20000,13.36,1,0.28,N,2
21,47520,RENT,5,MEDICAL,D,10000,15.33,1,0.21,Y,4
32,44000,RENT,4,PERSONAL,G,5000,20.17,1,0.11,N,10
30,43800,MORTGAGE,,DEBTCONSOLIDATION,D,13200,16.29,1,0.3,N,9
27,78000,MORTGAGE,2,HOMEIMPROVEMENT,D,35000,17.27,1,0.45,Y,5
25,52526,RENT,9,VENTURE,B,18000,12.21,1,0.34,N,2
26,51000,RENT,10,PERSONAL,B,5000,12.42,1,0.1,N,2
29,51996,RENT,13,VENTURE,D,20000,,1,0.38,Y,5
30,28000,RENT,5,PERSONAL,C,12000,14.22,1,0.43,N,8
23,59004,RENT,1,DEBTCONSOLIDATION,D,7800,15.99,1,0.13,Y,3
24,32000,RENT,5,EDUCATION,C,12000,13.85,1,0.38,N,3
25,45000,RENT,0,PERSONAL,C,14500,13.16,1,0.32,N,2
25,38004,RENT,6,MEDICAL,C,20000,13.11,1,0.53,N,2
27,50004,RENT,5,DEBTCONSOLIDATION,B,20000,,1,0.4,N,9
33,163400,MORTGAGE,17,EDUCATION,E,10000,18.39,1,0.06,N,5
22,32000,RENT,3,DEBTCONSOLIDATION,D,4800,16.49,1,0.15,Y,2
29,7200,RENT,,VENTURE,B,2200,9.91,1,0.31,N,9
28,33600,RENT,9,EDUCATION,C,14000,,1,0.42,Y,5
21,29400,MORTGAGE,0,MEDICAL,B,12000,11.83,1,0.41,N,4
22,26000,RENT,1,DEBTCONSOLIDATION,B,10000,10.65,1,0.38,N,3
23,36000,RENT,2,MEDICAL,A,8000,7.51,1,0.22,N,2
26,150500,MORTGAGE,10,DEBTCONSOLIDATION,D,10000,15.99,1,0.07,N,3
42,32000,RENT,5,VENTURE,B,10000,10.38,1,0.31,N,15
22,54000,RENT,4,DEBTCONSOLIDATION,C,1300,14.27,1,0.02,Y,2
35,15000,OWN,3,MEDICAL,A,3700,9.32,1,0.25,N,5
25,37200,RENT,3,EDUCATION,C,14500,13.85,1,0.39,Y,3
27,47000,MORTGAGE,11,DEBTCONSOLIDATION,G,7750,,1,0.16,N,7
29,44000,RENT,14,EDUCATION,B,16000,,1,0.36,N,8
24,30000,RENT,4,DEBTCONSOLIDATION,E,3000,19.29,1,0.1,Y,2
24,64000,MORTGAGE,8,PERSONAL,A,14500,5.42,1,0.23,N,2
23,30000,MORTGAGE,7,MEDICAL,C,10000,13.79,1,0.33,N,2
29,15000,OWN,5,PERSONAL,A,5000,7.51,1,0.33,N,7
31,41000,RENT,1,EDUCATION,D,5000,16.07,1,0.12,N,9
22,26000,RENT,5,PERSONAL,D,11200,16.89,1,0.43,N,3
21,30720,RENT,5,EDUCATION,C,18000,13.48,1,0.59,Y,4
23,12000,RENT,0,EDUCATION,A,2000,7.74,1,0.17,N,4
22,114000,RENT,2,VENTURE,D,5000,15.31,1,0.04,N,3
23,42000,RENT,0,DEBTCONSOLIDATION,C,5000,,1,0.12,Y,2
24,39000,RENT,0,MEDICAL,D,3000,14.61,1,0.08,Y,4
27,49200,MORTGAGE,2,DEBTCONSOLIDATION,E,7500,16.32,1,0.15,N,7
47,86000,RENT,0,HOMEIMPROVEMENT,C,9000,12.87,1,0.1,N,13
38,59475,MORTGAGE,10,MEDICAL,D,18125,14.84,1,0.26,Y,13
24,47000,RENT,3,PERSONAL,F,24000,17.8,1,0.51,N,2
24,60000,RENT,0,PERSONAL,B,20000,11.14,1,0.33,N,2
22,18000,RENT,0,HOMEIMPROVEMENT,E,1500,18.64,1,0.08,N,2
23,45000,RENT,8,EDUCATION,B,19600,9.91,1,0.44,N,2
34,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.38,1,0.33,N,8
24,45000,RENT,,EDUCATION,D,17000,14.96,1,0.38,Y,2
34,51600,MORTGAGE,2,VENTURE,E,12000,17.88,1,0.23,N,8
35,17280,RENT,6,EDUCATION,D,7200,12.36,1,0.42,N,5
23,37200,MORTGAGE,7,HOMEIMPROVEMENT,B,7000,10.59,1,0.19,N,2
24,74000,RENT,6,EDUCATION,C,5000,15.27,1,0.07,N,4
35,36000,RENT,4,MEDICAL,E,9000,18.39,1,0.25,Y,6
24,27600,RENT,4,PERSONAL,D,7000,15.62,1,0.25,Y,4
26,66300,RENT,0,MEDICAL,D,17000,16.77,1,0.22,Y,3
21,19000,RENT,2,HOMEIMPROVEMENT,C,4200,,1,0.22,Y,2
28,66300,MORTGAGE,11,MEDICAL,D,12000,14.11,1,0.15,N,6
23,47000,RENT,3,VENTURE,B,15000,11.48,1,0.32,N,4
22,20000,RENT,,VENTURE,A,10000,6.62,1,0.5,N,2
27,48000,RENT,2,EDUCATION,A,4000,6.03,1,0.08,N,6
40,45996,RENT,4,DEBTCONSOLIDATION,D,20000,14.61,1,0.43,N,11
42,36000,RENT,8,MEDICAL,C,13000,12.73,1,0.36,Y,16
24,33600,RENT,1,PERSONAL,D,7800,16.49,1,0.23,N,4
22,23400,RENT,,EDUCATION,A,7700,5.99,1,0.33,N,2
22,54000,RENT,4,EDUCATION,E,5000,16.35,1,0.09,Y,3
25,22880,RENT,2,VENTURE,C,7000,,1,0.31,N,3
28,50400,RENT,8,EDUCATION,D,18500,16.02,1,0.37,N,5
36,15000,OWN,2,PERSONAL,C,5000,13.92,1,0.33,Y,15
24,24000,RENT,2,HOMEIMPROVEMENT,D,3500,15.65,1,0.15,Y,3
25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3
28,34000,MORTGAGE,7,HOMEIMPROVEMENT,C,2500,12.23,1,0.07,Y,9
21,30000,RENT,5,VENTURE,A,12000,5.79,1,0.4,N,3
28,64775,RENT,9,PERSONAL,C,6400,12.87,1,0.1,Y,10
27,12240,RENT,0,VENTURE,B,3250,10.36,1,0.27,N,9
25,49963,MORTGAGE,9,MEDICAL,B,2100,11.49,1,0.04,N,3
26,58650,MORTGAGE,3,MEDICAL,C,17500,,1,0.25,N,4
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
34,74000,MORTGAGE,13,VENTURE,C,10000,15.96,1,0.14,Y,10
22,32000,RENT,1,PERSONAL,D,5400,16.29,1,0.17,N,2
23,18000,RENT,0,HOMEIMPROVEMENT,A,3200,,1,0.18,N,4
24,89000,MORTGAGE,1,VENTURE,D,25000,15.65,1,0.28,Y,4
29,31440,RENT,0,PERSONAL,C,3000,11.34,1,0.1,Y,6
30,25536,RENT,,MEDICAL,C,12000,14.79,1,0.47,Y,10
37,44000,RENT,0,VENTURE,E,6000,17.04,1,0.14,Y,17
41,24000,RENT,24,PERSONAL,A,2000,7.75,1,0.08,N,17
28,24000,RENT,5,MEDICAL,D,16750,14.96,1,0.7,Y,10
21,30000,MORTGAGE,0,MEDICAL,A,7125,7.51,1,0.24,N,4
23,60996,RENT,2,PERSONAL,D,4200,15.58,1,0.07,N,2
35,54000,RENT,4,DEBTCONSOLIDATION,E,17250,19.42,1,0.32,N,10
22,39000,RENT,0,DEBTCONSOLIDATION,D,2000,14.84,1,0.05,Y,2
21,21700,RENT,2,HOMEIMPROVEMENT,D,5500,14.91,1,0.25,N,2
36,43000,RENT,12,DEBTCONSOLIDATION,D,13600,15.58,1,0.32,Y,12
28,30416,RENT,7,HOMEIMPROVEMENT,D,7000,14.96,1,0.23,Y,7
33,24000,RENT,6,MEDICAL,A,10000,8.9,1,0.42,N,10
21,25200,RENT,3,MEDICAL,C,8500,13.61,1,0.34,Y,2
25,13200,RENT,0,DEBTCONSOLIDATION,A,6625,8.63,1,0.5,N,3
23,32400,RENT,7,EDUCATION,A,10000,8.49,1,0.31,N,3
24,26000,RENT,2,MEDICAL,C,1325,12.87,1,0.05,N,4
23,45504,RENT,2,PERSONAL,C,14500,,1,0.32,N,3
23,19250,RENT,1,HOMEIMPROVEMENT,E,6250,16.82,1,0.32,N,2
32,81400,RENT,2,VENTURE,D,20000,14.84,1,0.25,Y,6
25,42000,RENT,3,VENTURE,C,10000,13.8,1,0.24,N,3
29,32000,RENT,2,EDUCATION,C,7000,14.65,1,0.22,Y,10
31,42000,MORTGAGE,0,EDUCATION,D,21000,12.36,1,0.5,N,7
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3
23,36000,RENT,0,VENTURE,C,5000,13.22,1,0.14,N,4
26,74000,MORTGAGE,4,EDUCATION,B,7500,10.08,1,0.1,N,4
23,44000,RENT,0,HOMEIMPROVEMENT,F,13000,17.26,1,0.3,Y,3
50,19200,RENT,2,EDUCATION,F,4000,,1,0.21,N,12
25,33000,RENT,0,VENTURE,C,10000,15.96,1,0.3,Y,3
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4
24,56004,MORTGAGE,5,DEBTCONSOLIDATION,B,6000,10,1,0.11,N,3
39,117996,RENT,6,HOMEIMPROVEMENT,D,7500,13.24,1,0.06,Y,14
29,34000,RENT,6,DEBTCONSOLIDATION,D,8000,16.77,1,0.24,Y,10
38,54000,RENT,2,MEDICAL,D,14000,,1,0.26,N,17
42,18000,RENT,3,VENTURE,A,8000,6.91,1,0.44,N,17
35,57600,MORTGAGE,19,PERSONAL,A,2000,6.76,1,0.03,N,9
26,24000,RENT,1,HOMEIMPROVEMENT,B,3625,11.11,1,0.15,N,4
29,14400,RENT,3,EDUCATION,D,1000,16.32,1,0.07,Y,8
22,16000,RENT,,VENTURE,B,6250,9.91,1,0.39,N,2
32,193800,RENT,0,MEDICAL,B,20000,11.83,1,0.09,N,6
24,90000,MORTGAGE,5,VENTURE,C,19200,12.84,1,0.21,Y,4
26,30000,RENT,2,DEBTCONSOLIDATION,E,6000,16.77,1,0.2,N,2
25,188000,MORTGAGE,9,HOMEIMPROVEMENT,D,25000,13.24,1,0.13,Y,4
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,2
21,45996,MORTGAGE,2,EDUCATION,C,17000,13.16,1,0.37,Y,4
25,18000,RENT,3,EDUCATION,C,8500,10.28,1,0.47,Y,4
42,44000,RENT,0,EDUCATION,C,8400,13.57,1,0.19,Y,13
24,51000,MORTGAGE,8,DEBTCONSOLIDATION,B,12000,,1,0.24,N,3
38,39000,RENT,1,EDUCATION,E,5000,17.74,1,0.13,N,17
26,47000,RENT,5,PERSONAL,B,16250,12.42,1,0.35,N,4
22,32000,RENT,2,VENTURE,C,10000,13.22,1,0.31,N,3
26,21600,RENT,9,VENTURE,B,7200,10.38,1,0.33,N,3
24,69000,MORTGAGE,1,EDUCATION,B,4900,10.96,1,0.07,N,2
29,28000,RENT,2,PERSONAL,D,5000,16.07,1,0.18,N,8
36,44004,RENT,4,DEBTCONSOLIDATION,C,2000,13.61,1,0.05,Y,13
23,49000,MORTGAGE,7,MEDICAL,G,15000,19.82,1,0.31,Y,3
21,33000,RENT,2,EDUCATION,C,10800,12.23,1,0.33,N,3
23,30000,RENT,7,EDUCATION,C,10000,13.99,1,0.33,N,2
26,54000,RENT,0,PERSONAL,D,13200,14.91,1,0.24,Y,2
24,32000,RENT,8,DEBTCONSOLIDATION,C,12000,12.87,1,0.38,Y,2
24,56100,RENT,7,MEDICAL,D,25000,16.49,1,0.38,N,4
40,52479,RENT,17,PERSONAL,D,6600,14.54,1,0.13,N,13
29,62050,RENT,3,MEDICAL,E,15000,15.95,1,0.21,Y,8
25,44000,RENT,1,MEDICAL,D,8000,12.92,1,0.18,N,4
24,34000,RENT,0,VENTURE,D,8000,16.49,1,0.24,Y,3
36,37000,MORTGAGE,5,MEDICAL,E,3000,18.39,1,0.08,Y,15
22,30000,RENT,0,MEDICAL,A,12000,9.32,1,0.4,N,3
31,44000,MORTGAGE,0,EDUCATION,C,12000,12.53,1,0.27,Y,6
32,30000,RENT,3,MEDICAL,D,3600,14.11,1,0.12,Y,9
21,15300,RENT,5,HOMEIMPROVEMENT,B,3150,10.99,1,0.21,N,4
27,49500,MORTGAGE,7,VENTURE,C,4750,15.27,1,0.1,N,7
24,39600,RENT,7,HOMEIMPROVEMENT,B,10000,10.36,1,0.25,N,3
23,69000,MORTGAGE,0,PERSONAL,B,2500,9.64,1,0.04,N,3
25,69000,RENT,3,HOMEIMPROVEMENT,D,10000,14.09,1,0.14,Y,2
23,52000,RENT,3,DEBTCONSOLIDATION,B,17000,11.58,1,0.33,N,4
29,46000,RENT,11,MEDICAL,D,13250,17.27,1,0.29,Y,6
31,34000,MORTGAGE,3,EDUCATION,C,10000,13.85,1,0.29,Y,6
28,92801,MORTGAGE,12,MEDICAL,D,20000,14.74,1,0.18,Y,8
23,50000,MORTGAGE,7,MEDICAL,D,7500,15.62,1,0.15,N,3
24,58650,RENT,4,MEDICAL,D,9500,16.49,1,0.14,N,3
21,12000,RENT,0,DEBTCONSOLIDATION,C,2200,,1,0.18,N,3
21,112800,MORTGAGE,2,EDUCATION,C,16000,13.48,1,0.14,Y,2
32,108000,RENT,16,PERSONAL,A,6125,5.99,1,0.06,N,5
24,44000,RENT,0,PERSONAL,A,2000,8,1,0.05,N,3
28,51500,RENT,2,DEBTCONSOLIDATION,D,20000,15.65,1,0.39,Y,8
34,19200,RENT,18,VENTURE,A,5000,6.99,1,0.26,N,7
35,49404,RENT,0,MEDICAL,A,22750,6.54,1,0.46,N,9
25,78000,MORTGAGE,7,VENTURE,C,9000,11.78,1,0.12,Y,2
26,29000,RENT,10,DEBTCONSOLIDATION,A,9200,7.49,1,0.32,N,3
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3
21,38000,RENT,5,EDUCATION,B,13500,9.91,1,0.36,N,3
27,61200,MORTGAGE,11,MEDICAL,B,5000,11.86,1,0.07,N,5
22,40680,RENT,2,HOMEIMPROVEMENT,B,6000,11.36,1,0.15,N,4
32,64500,MORTGAGE,3,EDUCATION,C,19400,13.11,1,0.3,Y,10
44,39000,RENT,2,MEDICAL,B,12000,11.14,1,0.31,N,15
24,27500,RENT,0,PERSONAL,E,5000,15.07,1,0.18,Y,4
22,26400,RENT,3,PERSONAL,B,10000,9.88,1,0.38,N,2
23,33600,RENT,2,DEBTCONSOLIDATION,C,10750,,1,0.32,Y,3
22,29916,RENT,1,PERSONAL,D,6000,15.65,1,0.2,N,2
32,38000,RENT,2,EDUCATION,B,12000,12.42,1,0.32,N,6
24,74800,RENT,4,MEDICAL,E,14000,16.45,1,0.16,N,2
34,30636,RENT,4,PERSONAL,B,10000,10.37,1,0.33,N,5
23,54000,RENT,5,HOMEIMPROVEMENT,A,4500,8.49,1,0.08,N,2
28,50000,RENT,1,HOMEIMPROVEMENT,C,16200,13.99,1,0.32,Y,6
23,64000,RENT,3,VENTURE,D,10000,,1,0.16,Y,3
28,37200,RENT,,HOMEIMPROVEMENT,D,9000,14.59,1,0.24,Y,8
25,25000,RENT,8,VENTURE,B,9250,10.75,1,0.37,N,3
36,52000,MORTGAGE,11,PERSONAL,B,1500,11.36,1,0.03,N,17
31,66000,MORTGAGE,11,HOMEIMPROVEMENT,B,2400,9.91,1,0.04,N,5
30,30000,MORTGAGE,3,HOMEIMPROVEMENT,B,4400,11.99,1,0.15,N,5
33,88296,MORTGAGE,0,DEBTCONSOLIDATION,E,15000,15.88,1,0.17,N,8
24,65453,RENT,9,MEDICAL,D,24250,15.7,1,0.31,N,2
26,42000,RENT,2,EDUCATION,C,4800,14.27,1,0.11,Y,2
31,54000,RENT,3,HOMEIMPROVEMENT,D,9000,12.49,1,0.17,N,7
22,36000,RENT,6,MEDICAL,B,3000,11.49,1,0.08,N,4
23,56500,RENT,7,DEBTCONSOLIDATION,D,3000,14.84,1,0.05,Y,3
22,16800,RENT,1,EDUCATION,B,3050,9.91,1,0.18,N,3
31,50000,RENT,13,DEBTCONSOLIDATION,D,8000,14.09,1,0.16,Y,8
26,32000,MORTGAGE,10,MEDICAL,D,15000,15.33,1,0.47,N,3
30,113000,MORTGAGE,4,DEBTCONSOLIDATION,D,30000,15.62,1,0.27,Y,8
22,30000,RENT,3,MEDICAL,D,5000,18.25,1,0.17,N,2
37,103000,RENT,1,EDUCATION,D,10000,15.62,1,0.1,Y,12
24,33600,RENT,2,PERSONAL,A,9450,7.66,1,0.28,N,2
24,94102,MORTGAGE,8,MEDICAL,C,8475,12.99,1,0.08,N,4
27,151000,MORTGAGE,11,DEBTCONSOLIDATION,D,20000,14.74,1,0.13,Y,9
48,19200,OWN,1,MEDICAL,C,7000,,1,0.36,N,16
30,30000,RENT,1,PERSONAL,B,14500,,1,0.48,N,8
32,59000,RENT,6,EDUCATION,B,3500,,1,0.06,N,9
24,56100,RENT,4,MEDICAL,D,20000,14.74,1,0.3,Y,4
24,26000,RENT,8,EDUCATION,E,10000,16.63,1,0.38,Y,2
21,35000,RENT,3,VENTURE,B,21000,12.53,1,0.6,N,4
35,84000,MORTGAGE,5,DEBTCONSOLIDATION,C,15200,15.27,1,0.18,Y,7
27,116000,MORTGAGE,4,HOMEIMPROVEMENT,D,25000,13.36,1,0.22,Y,7
23,63600,MORTGAGE,,DEBTCONSOLIDATION,B,20000,10.99,1,0.31,N,3
23,66348,RENT,0,VENTURE,E,7000,17.04,1,0.11,N,4
30,16000,MORTGAGE,2,MEDICAL,A,7275,5.42,1,0.45,N,10
24,33996,RENT,1,DEBTCONSOLIDATION,C,7000,13.16,1,0.21,N,3
22,36000,RENT,4,PERSONAL,B,10000,11.36,1,0.28,N,2
30,20000,RENT,1,PERSONAL,B,3000,11.49,1,0.15,N,8
27,20000,RENT,0,VENTURE,B,8000,11.89,1,0.4,N,6
23,13000,RENT,0,PERSONAL,E,2400,16.82,1,0.18,N,3
22,26400,RENT,0,HOMEIMPROVEMENT,C,2400,13.92,1,0.09,N,3
27,19498,RENT,3,HOMEIMPROVEMENT,A,9575,6.62,1,0.49,N,5
23,19000,RENT,2,EDUCATION,C,6000,10.59,1,0.32,N,2
22,32000,RENT,7,EDUCATION,C,14000,12.23,1,0.44,N,3
22,39000,RENT,5,DEBTCONSOLIDATION,B,13000,11.83,1,0.33,N,4
39,69000,RENT,0,PERSONAL,D,15000,14.42,1,0.22,N,12
24,23196,RENT,1,EDUCATION,D,7500,13.24,1,0.32,N,2
22,51000,MORTGAGE,3,HOMEIMPROVEMENT,B,12000,11.86,1,0.24,N,3
21,13806,RENT,6,EDUCATION,C,4750,12.73,1,0.34,Y,2
26,54000,RENT,3,MEDICAL,D,16800,12.67,1,0.31,Y,3
48,12000,RENT,4,MEDICAL,A,4200,,1,0.35,N,14
28,30000,RENT,13,MEDICAL,B,14800,11.14,1,0.49,N,7
26,37000,RENT,0,PERSONAL,B,14000,9.88,1,0.38,N,2
23,44000,RENT,1,MEDICAL,C,5000,13.99,1,0.11,Y,2
22,48000,RENT,6,DEBTCONSOLIDATION,A,16500,8.9,1,0.34,N,3
25,61680,RENT,1,VENTURE,C,7600,13.23,1,0.12,N,4
23,35000,MORTGAGE,7,MEDICAL,C,5000,12.98,1,0.14,N,2
28,91800,MORTGAGE,6,MEDICAL,D,10000,16.89,1,0.09,Y,8
34,30000,RENT,2,DEBTCONSOLIDATION,A,12000,8.9,1,0.4,N,7
22,30000,RENT,0,MEDICAL,B,12600,11.99,1,0.42,N,4
26,45000,RENT,10,MEDICAL,C,16750,12.41,1,0.37,N,3
25,113000,MORTGAGE,4,DEBTCONSOLIDATION,D,5000,14.54,1,0.04,Y,2
23,39000,RENT,3,PERSONAL,B,10000,11.99,1,0.26,N,3
35,19200,RENT,0,VENTURE,A,3500,9.32,1,0.18,N,6
26,58000,RENT,0,DEBTCONSOLIDATION,B,20000,10.25,1,0.34,N,2
23,35000,RENT,6,EDUCATION,B,17000,10.37,1,0.49,N,2
25,21500,RENT,2,MEDICAL,C,7500,11.34,1,0.35,Y,3
31,39000,MORTGAGE,6,DEBTCONSOLIDATION,D,4000,16.77,1,0.1,Y,9
40,98004,RENT,4,DEBTCONSOLIDATION,F,25000,19.04,1,0.26,Y,16
40,62540,MORTGAGE,5,MEDICAL,F,7500,19.04,1,0.1,Y,12
24,16000,RENT,0,VENTURE,B,3250,12.42,1,0.2,N,4
32,19000,RENT,1,PERSONAL,A,8325,6.62,1,0.44,N,9
25,19200,RENT,1,VENTURE,A,9500,7.88,1,0.49,N,4
22,14000,RENT,2,PERSONAL,D,4750,14.61,1,0.34,N,4
28,17004,RENT,4,HOMEIMPROVEMENT,A,3500,7.68,1,0.21,N,8
24,49000,RENT,2,VENTURE,D,7800,15.62,1,0.16,N,2
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Y,2
22,52000,RENT,2,EDUCATION,B,25000,11.11,1,0.48,N,4
26,33280,RENT,11,DEBTCONSOLIDATION,D,5000,14.11,1,0.15,N,4
23,36000,RENT,0,EDUCATION,C,3000,12.29,1,0.08,N,2
29,26568,RENT,2,HOMEIMPROVEMENT,D,4000,16,1,0.15,N,8
21,15500,RENT,3,HOMEIMPROVEMENT,A,8000,7.51,1,0.52,N,4
26,48700,RENT,0,MEDICAL,D,6000,14.59,1,0.12,N,3
21,21600,RENT,6,EDUCATION,C,7000,13.98,1,0.32,Y,3
28,29000,RENT,1,PERSONAL,C,5000,15.96,1,0.17,Y,7
